Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,117,hres,130,Yea
passage,117,hr,447,Nay
passage,118,hr,2925,Yea
passage-suspension,118,hr,7521,Nay
passage-suspension,118,s,546,Nay
passage-suspension,118,hr,4755,Not Voting
passage-suspension,118,hres,966,Yea
passage-suspension,118,hr,4866,Not Voting
passage-suspension,118,hres,149,Nay
passage,118,hr,6679,Yea
passage,118,hr,4691,Yea
passage,118,hr,6918,Yea
passage,118,hr,8771,Nay
passage,118,hjres,98,Yea
passage-suspension,118,hr,3250,Nay
passage,118,hr,6914,Yea
passage,118,hr,4639,Yea
passage-suspension,118,s,3427,Yea
passage-suspension,118,hr,5826,Yea
passage,118,hr,8034,Nay
passage,118,hr,529,Not Voting
passage-suspension,118,hr,7659,Yea
passage-suspension,118,hr,4723,Nay
passage-suspension,118,hr,886,Nay
passage-suspension,118,hr,6603,Yea
passage-suspension,118,hr,5528,Yea
passage,118,hr,6678,Yea
passage,118,hr,6046,Yea
passage,118,hres,969,Yea
passage,118,hr,8752,Nay
passage,118,hr,5947,Yea
passage-suspension,118,hr,2754,Yea
passage-suspension,118,s,2051,Yea
passage-suspension,118,hr,6543,Nay
passage,118,hres,1316,Yea
passage,118,hr,8146,Yea
passage-suspension,118,hr,3950,Nay
passage-suspension,118,hr,2789,Nay
passage-suspension,118,hr,2964,Nay
passage,118,hr,8580,Yea
passage,118,hr,354,Yea
passage-suspension,118,hr,4581,Yea
passage-suspension,118,hr,3935,Nay
passage-suspension,118,hr,1797,Yea
passage-suspension,118,hr,6960,Yea
passage,118,hr,7530,Yea
passage-suspension,118,hr,4310,Yea
passage-suspension,118,s,138,Nay
passage-suspension,118,hr,443,Yea
passage-suspension,118,hr,5921,Yea
passage-suspension,118,hr,3354,Nay
passage,118,hr,8036,Nay
passage-suspension,118,hr,4984,Nay
passage,118,hres,1143,Yea
passage-suspension,118,hr,7463,Nay
passage-suspension,118,hr,3843,Not Voting
passage-suspension,118,hr,7219,Yea
passage,118,hr,1121,Yea
passage,118,hr,6192,Yea
passage-suspension,118,hr,3391,Not Voting
passage-suspension,118,hr,5923,Yea
passage-suspension,118,hr,2882,Yea
veto-override,118,hjres,98,Yea
passage-suspension,118,hr,3838,Not Voting
passage,118,hr,3195,Yea
passage,118,hr,6009,Yea
passage,118,hr,7700,Yea
passage-suspension,118,hr,7454,Nay
passage,118,hres,1112,Yea
passage,118,hr,7511,Yea
passage,118,hr,6323,Yea
passage-suspension,118,hr,2766,Nay
passage-suspension,118,hr,7525,Nay
passage-suspension,118,hr,7102,Yea
passage,118,hr,8774,Yea
passage,118,hres,957,Yea
passage-suspension,118,s,3250,Yea
passage-suspension,118,hr,897,Nay
passage-suspension,118,hr,3033,Yea
passage,118,hr,5585,Yea
passage,118,hres,1344,Yea
passage,118,hres,1065,Yea
passage-suspension,118,hr,1767,Yea
passage-suspension,118,hr,4143,Yea
passage,118,hjres,165,Yea
passage-suspension,118,hr,3202,Nay
passage-suspension,118,hr,3738,Yea
passage-suspension,118,hr,4877,Not Voting
passage-suspension,118,hres,883,Yea
passage-suspension,118,hres,288,Yea
passage-suspension,118,hr,6655,Nay
passage-suspension,118,hr,5441,Nay
passage-suspension,118,hr,2872,Nay
passage-suspension,118,hr,5862,Yea
passage-suspension,118,hres,1102,Nay
passage-suspension,118,hr,4824,Not Voting
passage-suspension,118,hr,1752,Yea
passage,118,hr,8035,Nay
passage-suspension,118,hr,5856,Nay
veto-override,118,hjres,109,Yea
passage,118,hr,615,Yea
passage,118,hr,7109,Yea
passage-suspension,118,hr,6093,Nay
passage-suspension,118,s,870,Nay
passage-suspension,118,hr,4016,Yea
passage,118,hr,8772,Yea
passage-suspension,118,hr,3019,Yea
passage,118,hres,1213,Not Voting
passage,118,sjres,38,Yea
passage-suspension,118,hr,6571,Nay
passage,118,hr,8282,Yea
passage-suspension,118,hres,901,Nay
passage,118,hr,8369,Nay
passage-suspension,118,hr,839,Yea
passage-suspension,118,hr,6572,Nay
passage-suspension,118,hr,5863,Yea
passage,118,hr,788,Yea
passage-suspension,118,hr,7152,Nay
passage,118,hr,7581,Yea
passage,118,hr,7343,Yea
passage,118,hres,1292,Yea
passage-suspension,118,hr,6983,Yea
passage-suspension,118,hres,1215,Not Voting
passage-suspension,118,hr,4510,Nay
passage,118,hres,1210,Yea
passage,118,hjres,109,Yea
passage,118,hr,7176,Yea
passage,118,hres,1160,Nay
passage,118,hr,8038,Nay
passage-suspension,118,hr,6544,Yea
passage,118,hconres,86,Yea
passage,118,hr,7637,Yea
passage-suspension,118,hr,8289,Nay
passage-suspension,118,hres,1061,Nay
passage-suspension,118,hr,7024,Yea
passage-suspension,118,hr,6015,Yea
passage-suspension,118,hr,2560,Nay
passage-suspension,118,hr,4681,Yea
passage-suspension,118,hr,7520,Yea
passage-suspension,118,hr,3821,Yea
passage-suspension,118,hr,7423,Yea
passage,118,hr,6090,Nay
passage,118,hres,987,Yea
passage-suspension,118,hr,5375,Nay
passage-suspension,118,hr,1836,Nay
passage-suspension,118,hr,3602,Yea
passage-suspension,118,hr,533,Nay
passage-suspension,118,hr,5917,Yea
passage-suspension,118,hr,7217,Nay
passage-suspension,118,s,382,Yea
passage-suspension,118,hr,1727,Yea
passage-suspension,118,hr,6245,Yea
passage-suspension,118,hr,6408,Yea
passage,118,hr,6976,Yea
passage-suspension,118,hconres,25,Yea
passage-suspension,118,hr,4470,Yea
passage-suspension,118,hr,3981,Yea
passage,118,hjres,88,Yea
passage,118,hr,4821,Yea
passage,118,hr,4364,Yea
passage-suspension,118,hr,302,Yea
passage,118,hjres,74,Nay
passage,118,hr,382,Yea
passage,118,hres,773,Nay
passage-suspension,118,hr,1607,Yea
passage,118,hconres,21,Yea
passage,118,hres,11,Yea
passage-suspension,118,hr,663,Nay
passage,118,hr,2811,Yea
passage-suspension,118,s,475,Yea
passage,118,hr,4468,Yea
passage-suspension,118,hr,1353,Yea
passage,118,hr,4368,Yea
passage-suspension,118,hr,1154,Nay
passage-suspension,118,hr,1107,Yea
passage,118,hr,4665,Nay
passage-suspension,118,hr,3774,Yea
passage,118,hres,12,Yea
passage-suspension,118,hr,753,Yea
passage,118,hjres,68,Nay
passage,118,hr,26,Yea
passage,118,hjres,70,Nay
passage,118,hconres,9,Yea
passage-suspension,118,hr,2812,Nay
passage,118,hres,845,Yea
passage,118,hres,456,Yea
veto-override,118,hjres,45,Yea
passage,118,hres,521,Yea
passage-suspension,118,hr,1734,Yea
passage-suspension,118,hres,793,Yea
passage,118,hr,288,Yea
passage,118,hr,3799,Yea
passage-suspension,118,hr,2796,Nay
passage-suspension,118,hr,3089,Yea
passage-suspension,118,hres,888,Yea
